incident_number,call_type,call_type_group,call_time,Street,call_origin,mental_health,drug_related,dv_related,alcohol_related,Area,AreaName,Latitude,Longitude,Hour,DayOfWeek
18BU028300,Assist - Agency,Assist,12/11/18 18:00,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48163522,-73.22260011,6:00 PM,Tuesday
18BU028431,Found/Lost Property,Public Service,12/11/18 18:19,Northgate Rd,Online Report,0,0,0,0,A,NewNorthEnd,44.51977343,-73.26438652,6:00 PM,Tuesday
18BU028272,Alarm,Public Service,12/11/18 18:23,Industrial Pkwy,Phone,0,0,0,0,E,SouthEnd,44.44764076,-73.22285452,6:00 PM,Tuesday
18BU028273,Domestic Disturbance,Domestic,12/11/18 18:31,NA,Phone,0,0,1,1,A,NewNorthEnd,NA,NA,6:00 PM,Tuesday
18BU028274,Accident - Non-Investigated,Motor Vehicle,12/11/18 18:41,Pine St/Lakeside Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.46114544,-73.21329452,6:00 PM,Tuesday
18BU028275,Welfare Check,Public Service,12/11/18 18:48,College St,Phone,0,0,0,0,D,Downtown,44.47887958,-73.21111281,6:00 PM,Tuesday
18BU028276,Found/Lost Property,Public Service,12/11/18 18:49,Scarff Ave,Phone,0,0,0,0,E,SouthEnd,44.45036119,-73.21161997,6:00 PM,Tuesday
18BU028277,Found/Lost Property,Public Service,12/11/18 19:00,Manhattan Dr,Officer/Radio,1,0,0,0,B,OldNorthEnd,44.487905,-73.21732576,7:00 PM,Tuesday
18BU028279,Violation of Conditions of Release,Court Order,12/11/18 19:12,Shelburne Rd,Officer/Radio,0,0,0,0,,,44.41880595,-73.21342704,7:00 PM,Tuesday
18BU028278,Alarm,Public Service,12/11/18 20:16,Industrial Pkwy,Phone,0,0,0,0,E,SouthEnd,44.44720176,-73.22102807,8:00 PM,Tuesday
18BU028280,Suspicious Event,Public Service,12/11/18 20:33,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48119725,-73.22137123,8:00 PM,Tuesday
18BU028281,Traffic,Motor Vehicle,12/11/18 20:56,Pine St/Kilburn St,Officer/Radio,0,0,0,0,E,SouthEnd,44.47087971,-73.21593519,8:00 PM,Tuesday
18BU028282,Retail Theft,Property,12/11/18 21:03,Main St,Phone,0,0,0,0,D,Downtown,44.47684896,-73.21507454,9:00 PM,Tuesday
18BU028283,Found/Lost Property,Public Service,12/11/18 21:06,City Hall Park,Officer/Radio,0,0,0,0,D,Downtown,44.47485409,-73.2141148,9:00 PM,Tuesday
18BU028284,Trespass,Other,12/11/18 21:19,Greene St,911,0,0,0,0,C,UniversityHillSection,44.48075669,-73.20909808,9:00 PM,Tuesday
18BU028285,Juvenile Problem,Public Service,12/11/18 21:21,NA,Phone,0,0,0,0,C,UniversityHillSection,NA,NA,9:00 PM,Tuesday
18BU028286,Parking,Motor Vehicle,12/11/18 21:25,Hungerford Ter,Phone,0,0,0,0,C,UniversityHillSection,44.47894526,-73.20613466,9:00 PM,Tuesday
18BU028287,Assist - Public,Public Service,12/11/18 21:34,S Prospect St,Phone,0,0,0,0,E,SouthEnd,44.47651184,-73.20041625,9:00 PM,Tuesday
18BU028288,Noise,Quality of Life,12/11/18 21:54,S Williams St,Phone,0,0,0,0,C,UniversityHillSection,44.47706776,-73.20218982,9:00 PM,Tuesday
18BU028289,DUI,Motor Vehicle,12/11/18 22:22,Battery St / College St,Officer/Radio,0,1,0,1,D,Downtown,44.47551969,-73.21950772,10:00 PM,Tuesday
18BU028290,Traffic,Motor Vehicle,12/11/18 22:56,Intervale Rd,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.49740482,-73.20758417,10:00 PM,Tuesday
18BU028291,Assault - Simple,Assault,12/11/18 23:13,Battery Park,911,0,0,0,0,B,OldNorthEnd,44.48142783,-73.22059463,11:00 PM,Tuesday
18BU028292,Traffic,Motor Vehicle,12/11/18 23:55,Main St / S Willard St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.47650898,-73.20448938,11:00 PM,Tuesday
18BU028293,Foot Patrol,Public Service,12/11/18 23:58,Mansfield Ave / Loomis St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48187487,-73.19798435,11:00 PM,Tuesday
18BU028294,Foot Patrol,Public Service,12/12/18 0:47,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47781895,-73.21432538,12:00 AM,Wednesday
18BU028295,Intoxication,Quality of Life,12/12/18 1:13,Pearl St,Phone,0,0,0,1,D,Downtown,44.4808662,-73.20967983,1:00 AM,Wednesday
18BU028296,Accident - Property damage only,Motor Vehicle,12/12/18 1:28,Cedar St/Rose St,Phone,0,0,0,1,B,OldNorthEnd,44.48641224,-73.21592574,1:00 AM,Wednesday
18BU028297,Domestic Disturbance,Domestic,12/12/18 1:39,NA,Phone,0,0,0,1,C,UniversityHillSection,NA,NA,1:00 AM,Wednesday
18BU028298,Operations,Administrative,12/12/18 1:41,Riverside Ave/N Prospect St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.4882687,-73.20112984,1:00 AM,Wednesday
18BU028299,Assault - Simple,Assault,12/12/18 1:46,St Paul St,911,0,0,0,1,D,Downtown,44.47652876,-73.21555253,1:00 AM,Wednesday
18BU028301,Assist - Agency,Assist,12/12/18 1:55,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48185855,-73.22093701,1:00 AM,Wednesday
18BU028302,Accident - Property damage only,Motor Vehicle,12/12/18 2:10,Centennial Field,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48023702,-73.18558703,2:00 AM,Wednesday
18BU028303,Intoxication,Quality of Life,12/12/18 2:11,Pearl St,Officer/Radio,0,0,0,1,D,Downtown,44.47857313,-73.21114289,2:00 AM,Wednesday
18BU028304,Disturbance,Quality of Life,12/12/18 2:12,S Willard St,Phone,0,0,1,0,C,UniversityHillSection,44.4779741,-73.2032745,2:00 AM,Wednesday
18BU028305,Trespass,Other,12/12/18 2:46,Battery St,Phone,0,0,0,0,D,Downtown,44.47996844,-73.21717262,2:00 AM,Wednesday
18BU028306,Traffic,Motor Vehicle,12/12/18 2:58,North Ave/Plattsburg Ave,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.51649582,-73.25830074,2:00 AM,Wednesday
18BU028307,Alarm,Public Service,12/12/18 4:17,North Ave,Phone,0,0,0,0,A,NewNorthEnd,44.50815841,-73.24559955,4:00 AM,Wednesday
18BU028308,Traffic,Motor Vehicle,12/12/18 5:51,Colchester Ave/Chase St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48829225,-73.18498877,5:00 AM,Wednesday
18BU028309,Assist - Other,Assist,12/12/18 6:28,Manhattan Dr/St Louis St,Phone,1,0,0,0,B,OldNorthEnd,44.48926158,-73.20932666,6:00 AM,Wednesday
18BU028310,Alarm,Public Service,12/12/18 6:46,Mansfield Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48400498,-73.19884922,6:00 AM,Wednesday
18BU028311,Assist - Public,Public Service,12/12/18 6:52,N Prospect St / North St,Phone,0,0,0,0,C,UniversityHillSection,44.48339787,-73.20119278,6:00 AM,Wednesday
18BU028312,Traffic,Motor Vehicle,12/12/18 6:52,Main St/University Heights,Phone,0,0,0,0,C,UniversityHillSection,44.47437602,-73.19354096,6:00 AM,Wednesday
18BU028313,Parking,Motor Vehicle,12/12/18 6:52,Airport Dr,Phone,0,0,0,0,Airport,,44.46816367,-73.15381345,6:00 AM,Wednesday
18BU028314,Accident - LSA,Motor Vehicle,12/12/18 6:59,Rose St / Cedar St,Phone,0,0,0,0,B,OldNorthEnd,44.48459243,-73.21631988,6:00 AM,Wednesday
18BU028315,Alarm,Public Service,12/12/18 7:17,Mansfield Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48480903,-73.19669701,7:00 AM,Wednesday
18BU028316,Accident - Property damage only,Motor Vehicle,12/12/18 7:19,North Ave,911,0,0,0,0,B,OldNorthEnd,44.486067,-73.22248521,7:00 AM,Wednesday
18BU028317,Traffic,Motor Vehicle,12/12/18 7:28,Grove St/Bayberry Cir,Phone,0,0,0,0,C,UniversityHillSection,44.48625351,-73.18458259,7:00 AM,Wednesday
18BU028318,Traffic,Motor Vehicle,12/12/18 7:41,Williston Rd/Patchen Rd,Officer/Radio,0,0,0,0,,,44.46615688,-73.16989632,7:00 AM,Wednesday
18BU028319,Domestic Disturbance,Domestic,12/12/18 7:57,NA,Phone,0,0,1,0,A,NewNorthEnd,NA,NA,7:00 AM,Wednesday
18BU028516,Community Outreach,Public Service,12/12/18 8:00,North Ave,Officer/Radio,0,0,1,0,B,OldNorthEnd,44.48266499,-73.21913618,8:00 AM,Wednesday
18BU028320,Welfare Check,Public Service,12/12/18 8:22,Wing St,Phone,1,0,0,0,A,NewNorthEnd,44.51755701,-73.26173514,8:00 AM,Wednesday
18BU028321,Threats/Harassment,Other,12/12/18 8:26,S Winooski Ave,Phone,0,0,0,0,E,SouthEnd,44.4694835,-73.20894806,8:00 AM,Wednesday
18BU028322,Traffic,Motor Vehicle,12/12/18 8:35,Colchester Ave/East Ave,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48350384,-73.19392309,8:00 AM,Wednesday
18BU028323,Accident - LSA,Motor Vehicle,12/12/18 8:41,Battery St,Online Report,0,0,0,0,D,Downtown,44.47962354,-73.21631986,8:00 AM,Wednesday
18BU028324,Traffic,Motor Vehicle,12/12/18 8:42,Williston Rd,Officer/Radio,0,0,0,0,,,44.47150629,-73.18603568,8:00 AM,Wednesday
18BU028325,Traffic,Motor Vehicle,12/12/18 9:21,Shelburne Rd/Lyman Ave,Officer/Radio,0,0,0,0,E,SouthEnd,44.45261942,-73.20889404,9:00 AM,Wednesday
18BU028434,Found/Lost Property,Public Service,12/12/18 9:34,N Winooski Ave,Online Report,0,0,0,0,C,UniversityHillSection,44.48273921,-73.21035958,9:00 AM,Wednesday
18BU028326,TRO/FRO Service,Court Order,12/12/18 10:16,NA,Phone,0,0,0,0,C,UniversityHillSection,NA,NA,10:00 AM,Wednesday
18BU028327,Intoxication,Quality of Life,12/12/18 10:22,Pearl St,Phone,0,0,0,1,B,OldNorthEnd,44.48076302,-73.21170189,10:00 AM,Wednesday
18BU028328,SRO Activity,Public Service,12/12/18 10:45,Colchester Ave,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48151028,-73.19383629,10:00 AM,Wednesday
18BU028329,Welfare Check,Public Service,12/12/18 11:16,Riverside Ave/N Winooski Ave,Phone,0,0,0,0,B,OldNorthEnd,44.49004106,-73.20764104,11:00 AM,Wednesday
18BU028330,Animal Problem,Animal,12/12/18 11:16,Monroe St,Phone,0,0,0,0,B,OldNorthEnd,44.48037127,-73.21471202,11:00 AM,Wednesday
18BU028333,Motor Vehicle Complaint,Motor Vehicle,12/12/18 11:33,East Ave/University Rd,Phone,0,0,0,0,C,UniversityHillSection,44.48131022,-73.19232525,11:00 AM,Wednesday
18BU028334,Missing Person,Public Service,12/12/18 11:37,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48224796,-73.22228528,11:00 AM,Wednesday
18BU028335,Found/Lost Property,Public Service,12/12/18 11:44,St Paul St,Phone,0,0,0,0,D,Downtown,44.47607712,-73.21452254,11:00 AM,Wednesday
18BU028336,TRO/FRO Service,Court Order,12/12/18 12:01,NA,Phone,0,0,0,0,D,Downtown,NA,NA,12:00 PM,Wednesday
18BU028337,Fraud,Financial Crime,12/12/18 12:02,North Ave,Phone,0,0,0,0,A,NewNorthEnd,44.50536673,-73.24517873,12:00 PM,Wednesday
18BU028339,Fraud,Financial Crime,12/12/18 12:39,S Champlain St,Phone,0,0,0,0,E,SouthEnd,44.4720732,-73.21811721,12:00 PM,Wednesday
18BU028340,Foot Patrol,Public Service,12/12/18 12:43,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47848203,-73.21311029,12:00 PM,Wednesday
18BU028341,Accident - Property damage only,Motor Vehicle,12/12/18 12:49,Shelburne Rd/I189 E On Ramp,Phone,0,0,0,0,E,SouthEnd,44.45472365,-73.20728859,12:00 PM,Wednesday
18BU028342,Subpoena Service,Court Order,12/12/18 12:49,North Ave,Phone,0,0,1,0,B,OldNorthEnd,44.48376477,-73.21967699,12:00 PM,Wednesday
18BU028343,Suicide - Attempted,Public Service,12/12/18 12:49,NA,911,1,1,0,0,B,OldNorthEnd,NA,NA,12:00 PM,Wednesday
18BU028344,Assist – Motorist,Motor Vehicle,12/12/18 13:12,Main St/S Willard St,Phone,0,0,0,0,C,UniversityHillSection,44.47601161,-73.20624294,1:00 PM,Wednesday
18BU028346,Accident - LSA,Motor Vehicle,12/12/18 13:17,N Winooski Ave/N Union St,911,0,0,0,0,B,OldNorthEnd,44.48765915,-73.21035108,1:00 PM,Wednesday
18BU028502,Accident - LSA,Motor Vehicle,12/12/18 13:18,Elm Terrace,Online Report,0,0,0,0,NA,NA,44.47110468,-73.21077338,1:00 PM,Wednesday
18BU028347,Mental Health Issue,Public Service,12/12/18 13:24,Manhattan Dr,911,0,0,0,0,B,OldNorthEnd,44.48690519,-73.21496596,1:00 PM,Wednesday
18BU028348,Domestic Disturbance,Domestic,12/12/18 13:27,NA,911,0,0,0,0,NA,NA,NA,NA,1:00 PM,Wednesday
18BU028350,Traffic,Motor Vehicle,12/12/18 13:33,Shelburne Rd/Rotary,Officer/Radio,0,0,0,0,E,SouthEnd,44.46243199,-73.20677023,1:00 PM,Wednesday
18BU028352,Found/Lost Property,Public Service,12/12/18 13:56,Main St/S Union St,In Person,0,0,0,0,D,Downtown,44.4774843,-73.20833032,1:00 PM,Wednesday
18BU028354,Foot Patrol,Public Service,12/12/18 14:15,Marketplace,Phone,0,0,0,0,D,Downtown,44.47903277,-73.21188026,2:00 PM,Wednesday
18BU028355,TRO/FRO Service,Court Order,12/12/18 14:17,NA,Phone,0,0,0,0,B,OldNorthEnd,NA,NA,2:00 PM,Wednesday
18BU028357,Accident - Property damage only,Motor Vehicle,12/12/18 14:54,Shelburne Rd/Home Ave,911,0,0,0,0,E,SouthEnd,44.4526565,-73.20797795,2:00 PM,Wednesday
18BU028358,Threats/Harassment,Other,12/12/18 15:01,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48088258,-73.22044655,3:00 PM,Wednesday
18BU028359,Animal Problem,Animal,12/12/18 15:05,Lakeview Terr,Phone,0,0,0,0,B,OldNorthEnd,44.48529355,-73.22656874,3:00 PM,Wednesday
18BU028360,Juvenile Problem,Public Service,12/12/18 15:09,NA,Officer/Radio,0,0,0,0,A,NewNorthEnd,NA,NA,3:00 PM,Wednesday
18BU028361,Juvenile Problem,Public Service,12/12/18 15:10,NA,Officer/Radio,0,0,0,0,A,NewNorthEnd,NA,NA,3:00 PM,Wednesday
18BU028362,Suspicious Event,Public Service,12/12/18 15:19,Intervale Rd/Riverside Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48810455,-73.20285757,3:00 PM,Wednesday
18BU028363,Arrest on Warrant,Court Order,12/12/18 15:25,North St,Phone,0,0,0,0,B,OldNorthEnd,44.48634529,-73.21202483,3:00 PM,Wednesday
18BU028364,Traffic,Motor Vehicle,12/12/18 15:42,Pearl St/N Prospect St,Phone,0,0,0,0,C,UniversityHillSection,44.48004387,-73.20248792,3:00 PM,Wednesday
18BU028365,Assist - Public,Public Service,12/12/18 16:01,Murray St / Allen St,Phone,0,0,0,0,B,OldNorthEnd,44.48537235,-73.2142724,4:00 PM,Wednesday
18BU028366,Assist - Agency,Assist,12/12/18 16:03,St Paul St,911,0,0,0,0,E,SouthEnd,44.47385212,-73.2135071,4:00 PM,Wednesday
18BU028367,Juvenile Problem,Public Service,12/12/18 16:15,NA,Phone,0,0,0,0,D,Downtown,NA,NA,4:00 PM,Wednesday
18BU028368,Intoxication,Quality of Life,12/12/18 16:31,Main St,Phone,0,0,0,0,D,Downtown,44.4748918,-73.20943692,4:00 PM,Wednesday
18BU028369,Intoxication,Quality of Life,12/12/18 16:39,Maple St,Phone,0,0,0,1,E,SouthEnd,44.47408372,-73.21810034,4:00 PM,Wednesday
18BU028370,Arrest on Warrant,Court Order,12/12/18 16:53,Maple St,Phone,0,0,0,0,E,SouthEnd,44.47376682,-73.21973803,4:00 PM,Wednesday
18BU028371,Traffic,Motor Vehicle,12/12/18 16:55,Pearl St/Elmwood Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48006194,-73.21222615,4:00 PM,Wednesday
18BU028372,Assault - Aggravated,Assault,12/12/18 16:59,Austin Dr,911,0,1,0,0,E,SouthEnd,44.44582803,-73.2249321,4:00 PM,Wednesday
18BU028374,Disturbance,Quality of Life,12/12/18 17:26,Pearl St,911,0,0,0,0,C,UniversityHillSection,44.48009735,-73.2054056,5:00 PM,Wednesday
18BU028375,Accident - Property damage only,Motor Vehicle,12/12/18 17:27,N Champlain St,Phone,0,0,0,0,B,OldNorthEnd,44.48334568,-73.21778801,5:00 PM,Wednesday
18BU028376,Assist – Motorist,Motor Vehicle,12/12/18 17:29,Main St/East Ave,Phone,0,0,0,0,C,UniversityHillSection,44.47480946,-73.19263988,5:00 PM,Wednesday
18BU028373,Assist – Motorist,Motor Vehicle,12/12/18 17:52,Main St/East Ave,Phone,0,0,0,0,C,UniversityHillSection,44.47349064,-73.18999594,5:00 PM,Wednesday
18BU028377,Violation of Conditions of Release,Court Order,12/12/18 17:58,North Ave,Phone,0,0,1,0,A,NewNorthEnd,44.51369201,-73.25168538,5:00 PM,Wednesday
18BU028378,Found/Lost Property,Public Service,12/12/18 18:35,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48170381,-73.22236529,6:00 PM,Wednesday
18BU028379,Accident - Non-Investigated,Motor Vehicle,12/12/18 19:02,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48071218,-73.19648282,7:00 PM,Wednesday
18BU028380,Assist - Agency,Assist,12/12/18 19:45,Cherry St,Officer/Radio,0,0,0,0,D,Downtown,44.47846284,-73.21695989,7:00 PM,Wednesday
18BU028381,Accident - LSA,Motor Vehicle,12/12/18 20:04,S Union St/Pearl St,Phone,0,0,0,0,C,UniversityHillSection,44.47998553,-73.21008963,8:00 PM,Wednesday
18BU028382,Assault - Simple,Assault,12/12/18 20:06,N Champlain St,911,0,0,0,1,B,OldNorthEnd,44.48233656,-73.21674048,8:00 PM,Wednesday
18BU028383,Suspicious Event,Public Service,12/12/18 20:30,N Champlain St,Phone,0,0,0,0,B,OldNorthEnd,44.48393841,-73.21925397,8:00 PM,Wednesday
18BU028384,Accident - Non-Investigated,Motor Vehicle,12/12/18 20:31,N Union St / Loomis St,Phone,0,0,0,0,C,UniversityHillSection,44.48390687,-73.21106722,8:00 PM,Wednesday
18BU028385,Assist - Agency,Assist,12/12/18 21:21,N Champain St,Phone,1,1,0,0,NA,NA,44.48748366,-73.21614473,9:00 PM,Wednesday
18BU028386,Larceny from a Person,Property,12/12/18 21:39,Drew St,911,0,0,1,0,B,OldNorthEnd,44.48634493,-73.2228098,9:00 PM,Wednesday
18BU028387,Welfare Check,Public Service,12/12/18 22:14,S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.47913708,-73.21250739,10:00 PM,Wednesday
18BU028388,Traffic,Motor Vehicle,12/12/18 22:24,Maple St / Church St,Officer/Radio,0,0,0,1,D,Downtown,44.4731063,-73.21365958,10:00 PM,Wednesday
18BU028389,Traffic,Motor Vehicle,12/12/18 22:53,Beltline/N Ave Exit,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48544093,-73.21797931,10:00 PM,Wednesday
18BU028390,Trespass,Other,12/12/18 23:09,Summit St,Phone,1,0,0,0,E,SouthEnd,44.47230628,-73.20337069,11:00 PM,Wednesday
18BU028391,Alarm,Public Service,12/12/18 23:29,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.45126763,-73.21117725,11:00 PM,Wednesday
18BU028392,Traffic,Motor Vehicle,12/13/18 0:06,Main St/S Willard St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.47678205,-73.20640155,12:00 AM,Thursday
18BU028393,Traffic,Motor Vehicle,12/13/18 0:53,Main St/university Hgts,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.47605952,-73.19362768,12:00 AM,Thursday
18BU028394,Alarm,Public Service,12/13/18 1:02,Raymond Pl,Phone,0,0,0,0,E,SouthEnd,44.45121281,-73.21178512,1:00 AM,Thursday
18BU028395,Suspicious Event,Public Service,12/13/18 1:20,Lake St,Phone,0,0,0,0,B,OldNorthEnd,44.48197214,-73.22464852,1:00 AM,Thursday
18BU028396,Traffic,Motor Vehicle,12/13/18 1:24,Shelburne Rd/I89,Officer/Radio,0,0,0,0,E,SouthEnd,44.44945759,-73.21058186,1:00 AM,Thursday
18BU028397,Assist - Public,Public Service,12/13/18 1:28,Archibald St,Phone,0,0,0,0,B,OldNorthEnd,44.48761427,-73.20795672,1:00 AM,Thursday
18BU028398,Trespass,Other,12/13/18 1:50,Bank St,Officer/Radio,0,0,0,0,D,Downtown,44.47674665,-73.21349579,1:00 AM,Thursday
18BU028399,Intoxication,Quality of Life,12/13/18 2:09,Main St/Church St,Officer/Radio,0,0,0,0,D,Downtown,44.47707728,-73.21205921,2:00 AM,Thursday
18BU028400,Traffic,Motor Vehicle,12/13/18 2:33,Pine St/Howard St,Officer/Radio,0,0,0,0,E,SouthEnd,44.46580714,-73.21352749,2:00 AM,Thursday
18BU028401,Domestic Disturbance,Domestic,12/13/18 2:42,NA,911,0,0,1,0,C,UniversityHillSection,NA,NA,2:00 AM,Thursday
18BU028402,Assist - Agency,Assist,12/13/18 3:42,Woodlawn Rd,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.51135943,-73.25469763,3:00 AM,Thursday
18BU028403,Alarm,Public Service,12/13/18 5:28,Church St,Phone,0,0,0,0,D,Downtown,44.48018093,-73.21184398,5:00 AM,Thursday
18BU028404,Assist - Agency,Assist,12/13/18 7:03,Airport Dr,Phone,0,0,0,0,Airport,,44.46893619,-73.15403972,7:00 AM,Thursday
18BU028405,Accident - Property damage only,Motor Vehicle,12/13/18 8:05,N Winooski Ave/North St,Phone,0,0,0,0,B,OldNorthEnd,44.48339452,-73.21265682,8:00 AM,Thursday
18BU028406,Welfare Check,Public Service,12/13/18 8:19,N Champlain St A,Phone,1,0,0,0,B,OldNorthEnd,44.481478,-73.2186477,8:00 AM,Thursday
18BU028407,Accident - Property damage only,Motor Vehicle,12/13/18 8:24,Pine St/Marble Ave,Phone,0,0,0,0,E,SouthEnd,44.46879276,-73.21607573,8:00 AM,Thursday
18BU028408,Community Outreach,Public Service,12/13/18 8:37,Cherry St,Phone,0,0,1,0,D,Downtown,44.4809722,-73.21836184,8:00 AM,Thursday
18BU028503,Accident - Property damage only,Motor Vehicle,12/13/18 8:49,Howard St/S Willard St,Online Report,0,0,0,0,E,SouthEnd,44.46900697,-73.20637701,8:00 AM,Thursday
18BU028504,Accident - LSA,Motor Vehicle,12/13/18 8:51,Home Ave / Shelburne Rd,Online Report,0,0,0,0,E,SouthEnd,44.45157835,-73.21058254,8:00 AM,Thursday
18BU028409,Found/Lost Property,Public Service,12/13/18 9:14,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48064284,-73.2226763,9:00 AM,Thursday
18BU028410,Intoxication,Quality of Life,12/13/18 9:27,Heineberg Rd,911,0,0,0,1,A,NewNorthEnd,44.50949131,-73.24554082,9:00 AM,Thursday
18BU028411,Accident - Property damage only,Motor Vehicle,12/13/18 9:35,College St / S Union St,911,0,0,0,0,D,Downtown,44.47560889,-73.21046998,9:00 AM,Thursday
18BU028412,TRO/FRO Violation,Domestic,12/13/18 9:50,NA,911,0,0,1,0,A,NewNorthEnd,NA,NA,9:00 AM,Thursday
18BU028413,Operations,Administrative,12/13/18 9:54,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48149149,-73.22308487,9:00 AM,Thursday
18BU028506,Identity Theft,Financial Crime,12/13/18 10:46,Avenue B,Online Report,0,0,0,0,A,NewNorthEnd,44.50942664,-73.24564921,10:00 AM,Thursday
18BU028414,Traffic,Motor Vehicle,12/13/18 10:49,Riverside Ave/N Prospect St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48987044,-73.2029044,10:00 AM,Thursday
18BU028415,Traffic,Motor Vehicle,12/13/18 11:28,North Ave/Convent Sq,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.49055997,-73.22410507,11:00 AM,Thursday
18BU028416,VIN verification,Motor Vehicle,12/13/18 11:32,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48309925,-73.21977586,11:00 AM,Thursday
18BU028417,Disorderly Conduct by Electronic Communication,Quality of Life,12/13/18 11:33,North Ave,Officer/Radio,1,0,0,0,B,OldNorthEnd,44.48325722,-73.22051959,11:00 AM,Thursday
18BU028418,Traffic,Motor Vehicle,12/13/18 12:03,North Ave/Convent Sq,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48694153,-73.22465063,12:00 PM,Thursday
18BU028419,Assist - Other,Assist,12/13/18 12:04,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.49265262,-73.22896549,12:00 PM,Thursday
18BU028421,Assist - Agency,Assist,12/13/18 12:34,Airport Dr,Officer/Radio,0,0,0,0,Airport,,44.46843554,-73.15469578,12:00 PM,Thursday
18BU028420,Suspicious Event,Public Service,12/13/18 12:46,Main St,Officer/Radio,0,0,0,0,E,SouthEnd,44.47638813,-73.20802438,12:00 PM,Thursday
18BU028422,Traffic,Motor Vehicle,12/13/18 12:46,Riverside Ave / Hillside Ter,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.4878025,-73.19883735,12:00 PM,Thursday
18BU028423,Operations,Administrative,12/13/18 12:53,Clarke St,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48354975,-73.21292986,12:00 PM,Thursday
18BU028424,TRO/FRO Violation,Domestic,12/13/18 12:53,NA,Phone,0,0,0,0,B,OldNorthEnd,NA,NA,12:00 PM,Thursday
18BU028425,Traffic,Motor Vehicle,12/13/18 12:57,Riverside Ave / Hillside Ter,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48874145,-73.19881207,12:00 PM,Thursday
18BU028427,Accident - Injury to person(s),Motor Vehicle,12/13/18 13:11,Colchester Ave,911,0,0,0,0,C,UniversityHillSection,44.47946824,-73.19839183,1:00 PM,Thursday
18BU028428,Traffic,Motor Vehicle,12/13/18 13:12,Riverside Ave / Hillside Ter,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48614534,-73.19783642,1:00 PM,Thursday
18BU028429,Trespass,Other,12/13/18 13:20,Church St,Phone,0,0,0,0,D,Downtown,44.47906625,-73.21148407,1:00 PM,Thursday
18BU028432,Accident - LSA,Motor Vehicle,12/13/18 13:40,N Winooski Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48417537,-73.21358679,1:00 PM,Thursday
18BU028433,Suspicious Event,Public Service,12/13/18 13:55,North St/Drew St,Phone,0,0,0,0,B,OldNorthEnd,44.48509064,-73.22278083,1:00 PM,Thursday
18BU028435,Bomb Threat,Assault,12/13/18 14:05,Main St,911,0,0,0,0,D,Downtown,44.47674278,-73.21880377,2:00 PM,Thursday
18BU028436,Missing Person,Public Service,12/13/18 14:19,Institute Rd,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.49656876,-73.23532607,2:00 PM,Thursday
18BU028437,Bomb Threat,Assault,12/13/18 14:36,Cherry St,Phone,0,0,0,0,D,Downtown,44.48085343,-73.21228512,2:00 PM,Thursday
18BU028438,Foot Patrol,Public Service,12/13/18 14:53,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47858693,-73.21167431,2:00 PM,Thursday
